"zSES" "zACH" "BYACH" "byses" "retain" "sex"
1.49155063320795 0.866985281582715 0.951476150270724 1.163 1 1
1.14160275377588 0.455798988093757 0.538815952315327 0.882 1 1
0.403100645223526 1.67869029962577 1.76609073915909 0.289 1 1
0.593641661426748 0.629389428033671 0.713028630225743 0.442 1 1
0.724405103919155 2.18200559755211 2.27121017958091 0.547 1 1
-0.401405867634524 -0.156131557169289 -0.0753080686984834 -0.357 1 1
0.282300131682921 1.42460820317741 1.51109788098854 0.192 1 1
1.44547208680586 0.170683963834905 0.252678928261349 1.126 1 1
1.57125406482237 1.8648878664887 1.95295573445965 1.227 1 1
0.979705158309094 -1.32083612905664 -1.24418754451082 0.752 1 1
1.73190629417018 0.803949646967662 0.888214563320015 1.356 1 1
-2.3242511553324 -0.158071115157445 -0.0772545790661979 -1.901 1 1
0.698252415420674 0.636177880992216 0.719841416512742 0.526 1 1
1.14160275377588 0.13480214105403 0.216668486458637 0.882 1 1
-0.0664023816301657 -0.889284476692052 -0.811088987694428 -0.088 1 1
-0.0402496931316842 -1.07257270657274 -0.995034217443414 -0.067 1 1
-1.10130162649865 0.38209578454385 0.46484855834219 -0.919 1 1
0.550053847262612 0.416038049336571 0.498912489777187 0.407 1 1
0.0382083723637603 1.01051257270622 1.09551791748157 -0.004 1 1
0.84520561745976 -0.00775537107539641 0.0735999744316483 0.644 1 1
0.979705158309094 -0.495554205096494 -0.415947383048458 0.752 1 1
0.0643610608622417 0.155167499929662 0.237106845319636 0.017 1 1
2.91251337495877 1.85131096057161 1.93933016188565 2.304 1 1
0.253656710946489 -0.83885596900001 -0.76047971813386 0.169 1 1
1.59740675332085 0.921292905251068 1.00597844056672 1.248 1 1
0.389401617914797 -0.397606526694644 -0.317648609478894 0.278 1 1
1.55880040363261 0.162925731882284 0.244892886790492 1.217 1 1
0.27980939944497 1.05318284844564 1.13834114557128 0.19 1 1
2.34960788918193 1.36254234755643 1.44880954922169 1.852 1 1
0.659646065732439 0.80491942596174 0.889187818503872 0.495 1 1
